Timestamp,Question,Answer,Status
2025-05-19T01:00:55.312212,What is kaum Cina?,Kaum Cina adalah orang-orang dari negara Cina.,unchecked
2025-05-23T15:30:47.099010,What are traditional musical instruments of the Bajau community?,"Alat muzik tradisional masyarakat Bajau termasuk Kulintangan, Gong, Canang, Gendang, dan Gabbang, yang digunakan dalam majlis seperti perkahwinan dan kenduri.",unchecked
2025-05-23T16:32:59.340452,What are traditional musical instruments of the Bajau community?,"Alat muzik tradisional masyarakat Bajau termasuk Kulintangan, Gong, Canang, Gendang, dan Gabbang, yang digunakan dalam majlis seperti perkahwinan dan kenduri.",unchecked
2025-05-23T16:38:10.081154,Apakah makanan tradisional kaum Melayu?,"Makanan yang dinikmati oleh kaum Melayu ialah: Nasi Lemak, Nasi Kerabu, Nasi Dagang, Nasi Ulam, Nasi Tumpang, Asam Pedas, Rendang, Laksa, Roti Jala, Lontong, Pecal, Buras, Ketupat, Lemang, Dodol, Kuih Bahulu, Wajik, Kuih Koci, Putu Piring, Kuih Karas, Kuih Batang Buruk, Keropok Lekor, Satar, Otak-otak, Sate, Kuih Siput, Kuih Kapit, Tapai, Acar Buah, Ikan Pekasam, Lempeng, Pulut Panggang, Belacan, Budu, Tempoyak, Gula Melaka",unchecked
2025-05-23T16:39:19.122086,What are traditional foods of the Malay community?,"Makanan tradisional masyarakat Melayu adalah Nasi Lemak dan makanan ringan seperti Keropok Lekor, Satar, Otak-Otak, dan Kuih Siput.",unchecked
2025-05-23T16:40:04.737758,Apakah pakaian tradisional lelaki Melayu?,"Pakaian tradisional lelaki Melayu termasuk Baju Kurung, Baju Kebaya dan Baju 
Riau.",unchecked
2025-05-23T16:40:18.332761,What is traditional Malay men's attire?,"Baju Kebaya, Baju Riau, dan Baju 
Selatangga.",unchecked
2025-05-23T16:40:20.927569,Apakah permainan tradisional kaum Melayu?,"Permainan yang dimainkan oleh kaum Melayu ialah: Sepak Takraw, Galah Panjang, Konda-Kondi, Main Tarik Upih, Main Guli, Lempar Selipar, Batu Seremban, Main Ceper, Main Serunai, Congkak, Dam Aji, Teng-Teng, Wau, Gasing, Wau Bulan",unchecked
2025-05-23T16:41:22.934661,What are traditional games of the Malay community?,"Yes, permainan tradisional adalah seorang masyarakat Melayu memainkan permainan-permainan yang dikelilingkingkan oleh kemasyarakan, baik dalam rumah maupun luar rumah. Beberapa permainan tradisional Melayu adalah Kongkak, Gasing, dan Wau Bulan.",unchecked
2025-05-23T16:41:24.960994,Apakah alat muzik tradisional kaum Cina?,"Alat muzik yang dimainkan oleh kaum Cina ialah: Erhu, Liuqin, Pipa",unchecked
2025-05-23T16:42:29.223355,What are traditional musical instruments of the Chinese community?,"Alat muzik tradisional masyarakat Cina termasuk Erhu, Liuqin, dan Pipa, serta gitar bulan dan dram. Tarian payung, diiringi alat muzik seperti gitar bulan dan dram, menambah kemeriahan acara.",unchecked
2025-05-23T16:42:31.578658,Apakah perayaan utama kaum Cina?,"Perayaan yang disambut oleh kaum Cina ialah: Tahun Baru Cina, Chap Goh Mei, Perayaan Kuih Bulan dan Pesta Tanglung, Perayaan Duan Wu, Titik Balik Matahari Musim Dingin",unchecked
2025-05-23T16:43:31.200493,What are the major Chinese festivals?,,unchecked
2025-05-23T16:43:33.273308,Apakah tarian tradisional kaum India?,"Tarian yang dipersembahkan oleh kaum India ialah: Tarian Serimpi, Bharata Natyam, Tarian Kolattam, Kathakali",unchecked
2025-05-23T16:44:11.509471,What are traditional dances of the Indian community?,"Tarian tradisional masyarakat India termasuk Bharata Natyam, Kathakali dan Tarian Kolattam.",unchecked
2025-05-23T16:44:13.492288,Apakah bahasa utama kaum India di Malaysia?,"Bahasa yang dituturkan oleh kaum India ialah: Telugu, Tamil, Hindi, Malayalam",unchecked
2025-05-23T16:44:48.799390,What are the main languages of the Indian community in Malaysia?,"Bahasa utama masyarakat India di Malaysia adalah Tamil, Telugu, Hindi dan Malayalam.",unchecked
2025-05-23T16:46:13.906972,Apakah tarian utama semasa Pesta Kaamatan?,Tarian utama semasa Pesta Kaamatan adalah tarian suku Murut Timugon.,unchecked
2025-05-23T16:46:26.028505,What is the main dance during the Kaamatan Festival?,Tarian utama semasa Festival Kaamatan adalah Tarian Magunatip.,unchecked
2025-05-23T16:47:33.308003,Apakah makanan tradisional kaum Kadazandusun?,"Menikmatian tradisional kaum Kadazandusun bermula dengan makanan yang terkenal 
seperti Hinava, Noonsom, Pinaasakan, Bosou, Sup Manuk Lihing, dan Linopot. Kemudian, 
dikembarkan dengan tarian tradisional seperti Sumazau dan Sumirid.",unchecked
2025-05-23T16:48:26.123886,What are traditional foods of the Kadazandusun people?,"Makanan tradisional orang Kadazandusun termasuk Hinava, Noonsom, Pinaasakan, Bosou, 
Sup Manuk Lihing, dan Linopot.",unchecked
2025-05-23T16:48:28.495469,Apakah pakaian tradisional wanita kaum Iban?,"Pakaian yang dipakai oleh kaum Iban ialah: Bidang, Kalambi, Bedong, Kain Sirat, Dandong, Ngepan",unchecked
2025-05-23T16:49:06.036020,What is the traditional attire for Iban women?,Pakaian tradisional untuk wanita Iban adalah Ngepan.,unchecked
2025-05-23T16:49:07.953710,Apakah alat muzik tradisional kaum Bajau?,Alat muzik yang dimainkan oleh kaum Bajau ialah: Kulintangan,unchecked
2025-05-23T16:49:58.500776,What are traditional musical instruments of the Bajau community?,"Alat muzik tradisional masyarakat Bajau termasuk Kulintangan, Gong, Canang, Gendang, dan Gabbang, yang digunakan dalam majlis seperti perkahwinan dan kenduri.",unchecked
2025-05-23T16:50:00.392110,Apakah permainan tradisional kaum Murut?,Permainan yang dimainkan oleh kaum Murut ialah: Lansaran,unchecked
2025-05-23T16:50:49.129445,What is a traditional game of the Murut people?,Lansaran ialah permainan tradisional kaum Murut.,unchecked
2025-05-23T16:50:51.327126,Apakah makanan tradisional kaum Melanau?,"Makanan yang dinikmati oleh kaum Melanau ialah: Umai, Sagu, Linut, Siet (Ulat Mulong), Tebaloi",unchecked
2025-05-23T16:51:44.235035,What are traditional foods of the Melanau community?,"Makanan tradisional komuniti Melanau termasuk Sagu, Linut, Umai, Siet (ulat mulong), dan Tebaloi.",unchecked
2025-05-23T16:51:50.559693,Apakah makanan tradisional kaum Melayu?,"Makanan yang dinikmati oleh kaum Melayu ialah: Nasi Lemak, Nasi Kerabu, Nasi Dagang, Nasi Ulam, Nasi Tumpang, Asam Pedas, Rendang, Laksa, Roti Jala, Lontong, Pecal, Buras, Ketupat, Lemang, Dodol, Kuih Bahulu, Wajik, Kuih Koci, Putu Piring, Kuih Karas, Kuih Batang Buruk, Keropok Lekor, Satar, Otak-otak, Sate, Kuih Siput, Kuih Kapit, Tapai, Acar Buah, Ikan Pekasam, Lempeng, Pulut Panggang, Belacan, Budu, Tempoyak, Gula Melaka",unchecked
